[global batch tokens] : 1,048,576
[world size]           : 8
[grad accum steps]     : 4
[model] loading from /mnt/weka/mmusayelyan/tinyllama_checkpoints/TinyLlama-1.1B-intermediate-step-1431k-3T
[model] total parameters: 1,100,048,384
[optim] decayed tensors    : 156  (1,099,956,224 params)
[optim] non-decayed tensors: 45  (92,160 params)
step    870/8576 | loss 1.8038 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,651
step    880/8576 | loss 1.8057 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,794
step    890/8576 | loss 1.7878 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,455
step    900/8576 | loss 1.7959 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,586
step    910/8576 | loss 1.8105 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,691
step    920/8576 | loss 1.8012 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,840
step    930/8576 | loss 1.7976 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,715
step    940/8576 | loss 1.7987 | lr 8.00e-05 | grad_norm 0.41 | tok/s 286,819
step    950/8576 | loss 1.8063 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,705
step    960/8576 | loss 1.7998 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,877
step    970/8576 | loss 1.7995 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,739
step    980/8576 | loss 1.7925 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,656
step    990/8576 | loss 1.7995 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,680
step   1000/8576 | loss 1.7807 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,568
step   1010/8576 | loss 1.8000 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,718
step   1020/8576 | loss 1.8060 | lr 8.00e-05 | grad_norm 0.60 | tok/s 286,855
step   1030/8576 | loss 1.7959 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,843
step   1040/8576 | loss 1.7976 | lr 8.00e-05 | grad_norm 0.41 | tok/s 286,915
step   1050/8576 | loss 1.8035 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,778
step   1060/8576 | loss 1.7965 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,738
step   1070/8576 | loss 1.8160 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,593
step   1080/8576 | loss 1.8046 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,674
step   1090/8576 | loss 1.7994 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,657
step   1100/8576 | loss 1.7962 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,833
step   1110/8576 | loss 1.7980 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,690
step   1120/8576 | loss 1.7976 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,884
step   1130/8576 | loss 1.7975 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,805
step   1140/8576 | loss 1.7954 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,737
step   1150/8576 | loss 1.7934 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,584
step   1160/8576 | loss 1.8035 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,801
step   1170/8576 | loss 1.8082 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,757
