[global batch tokens] : 1,048,576
[world size]           : 8
[grad accum steps]     : 4
[model] loading from /mnt/weka/mmusayelyan/tinyllama_checkpoints/TinyLlama-1.1B-intermediate-step-1431k-3T
[model] total parameters: 1,100,048,384
[optim] decayed tensors    : 156  (1,099,956,224 params)
[optim] non-decayed tensors: 45  (92,160 params)
step   1370/13952 | loss 1.7943 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,151
step   1380/13952 | loss 1.7976 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,151
step   1390/13952 | loss 1.7883 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,107
step   1400/13952 | loss 1.7784 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,124
step   1410/13952 | loss 1.7806 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,223
step   1420/13952 | loss 1.7884 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,206
step   1430/13952 | loss 1.8002 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,105
step   1440/13952 | loss 1.7751 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,246
step   1450/13952 | loss 1.7794 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,234
step   1460/13952 | loss 1.7875 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,244
step   1470/13952 | loss 1.7891 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,196
step   1480/13952 | loss 1.7731 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,229
step   1490/13952 | loss 1.7967 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,207
step   1500/13952 | loss 1.7908 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,214
step   1510/13952 | loss 1.7840 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,222
step   1520/13952 | loss 1.7900 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,187
step   1530/13952 | loss 1.7779 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,273
step   1540/13952 | loss 1.7770 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,254
step   1550/13952 | loss 1.7859 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,264
step   1560/13952 | loss 1.7944 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,179
step   1570/13952 | loss 1.7886 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,217
step   1580/13952 | loss 1.7784 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,251
step   1590/13952 | loss 1.7794 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,076
step   1600/13952 | loss 1.7729 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,234
step   1610/13952 | loss 1.7930 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,140
step   1620/13952 | loss 1.7834 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,211
step   1630/13952 | loss 1.7826 | lr 8.00e-05 | grad_norm 0.29 | tok/s 286,200
step   1640/13952 | loss 1.7938 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,207
step   1650/13952 | loss 1.7731 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,433
step   1660/13952 | loss 1.7696 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,239
step   1670/13952 | loss 1.7859 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,153
step   1680/13952 | loss 1.7891 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,256
step   1690/13952 | loss 1.7663 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,167
step   1700/13952 | loss 1.7819 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,141
step   1710/13952 | loss 1.7800 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,154
step   1720/13952 | loss 1.7718 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,232
step   1730/13952 | loss 1.7675 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,014
step   1740/13952 | loss 1.7800 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,104
step   1750/13952 | loss 1.7777 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,183
step   1760/13952 | loss 1.7753 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,066
step   1770/13952 | loss 1.7913 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,207
step   1780/13952 | loss 1.7681 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,120
step   1790/13952 | loss 1.7762 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,291
step   1800/13952 | loss 1.7600 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,265
step   1810/13952 | loss 1.7657 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,215
step   1820/13952 | loss 1.7880 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,241
step   1830/13952 | loss 1.7653 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,201
step   1840/13952 | loss 1.7781 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,213
step   1850/13952 | loss 1.7586 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,104
step   1860/13952 | loss 1.7680 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,163
step   1870/13952 | loss 1.7650 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,199
step   1880/13952 | loss 1.7645 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,160
step   1890/13952 | loss 1.7737 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,155
step   1900/13952 | loss 1.7722 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,264
step   1910/13952 | loss 1.7839 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,240
step   1920/13952 | loss 1.7775 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,278
step   1930/13952 | loss 1.7756 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,226
step   1940/13952 | loss 1.7778 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,307
step   1950/13952 | loss 1.7703 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,196
step   1960/13952 | loss 1.7666 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,200
step   1970/13952 | loss 1.7810 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,085
step   1980/13952 | loss 1.7656 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,075
step   1990/13952 | loss 1.7809 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,194
step   2000/13952 | loss 1.7664 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,180
step   2010/13952 | loss 1.7681 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,204
step   2020/13952 | loss 1.7719 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,240
step   2030/13952 | loss 1.7595 | lr 8.00e-05 | grad_norm 0.36 | tok/s 286,283
step   2040/13952 | loss 1.7745 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,270
step   2050/13952 | loss 1.7761 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,217
step   2060/13952 | loss 1.7820 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,310
step   2070/13952 | loss 1.7673 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,301
step   2080/13952 | loss 1.7795 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,191
step   2090/13952 | loss 1.7810 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,411
step   2100/13952 | loss 1.7690 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,244
step   2110/13952 | loss 1.7883 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,305
step   2120/13952 | loss 1.7601 | lr 8.00e-05 | grad_norm 0.29 | tok/s 286,273
step   2130/13952 | loss 1.7720 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,152
step   2140/13952 | loss 1.7679 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,235
step   2150/13952 | loss 1.7648 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,071
step   2160/13952 | loss 1.7758 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,095
step   2170/13952 | loss 1.7621 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,234
step   2180/13952 | loss 1.7768 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,209
step   2190/13952 | loss 1.7713 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,079
step   2200/13952 | loss 1.7712 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,144
step   2210/13952 | loss 1.7831 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,115
step   2220/13952 | loss 1.7713 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,209
step   2230/13952 | loss 1.7544 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,307
step   2240/13952 | loss 1.7615 | lr 8.00e-05 | grad_norm 0.58 | tok/s 286,185
step   2250/13952 | loss 1.7714 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,338
step   2260/13952 | loss 1.7682 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,250
step   2270/13952 | loss 1.7558 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,136
step   2280/13952 | loss 1.7670 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,318
step   2290/13952 | loss 1.7721 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,311
step   2300/13952 | loss 1.7608 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,324
step   2310/13952 | loss 1.7764 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,242
step   2320/13952 | loss 1.7699 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,227
step   2330/13952 | loss 1.7779 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,283
step   2340/13952 | loss 1.7636 | lr 8.00e-05 | grad_norm 0.37 | tok/s 286,135
step   2350/13952 | loss 1.7825 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,169
step   2360/13952 | loss 1.7655 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,254
step   2370/13952 | loss 1.7613 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,095
step   2380/13952 | loss 1.7695 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,225
step   2390/13952 | loss 1.7611 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,323
step   2400/13952 | loss 1.7597 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,195
step   2410/13952 | loss 1.7651 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,237
step   2420/13952 | loss 1.7406 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,083
step   2430/13952 | loss 1.7598 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,138
step   2440/13952 | loss 1.7680 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,185
step   2450/13952 | loss 1.7502 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,206
step   2460/13952 | loss 1.7687 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,302
step   2470/13952 | loss 1.7710 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,215
step   2480/13952 | loss 1.7637 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,270
step   2490/13952 | loss 1.7564 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,252
step   2500/13952 | loss 1.7704 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,193
step   2510/13952 | loss 1.7644 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,149
step   2520/13952 | loss 1.7602 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,260
step   2530/13952 | loss 1.7512 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,257
step   2540/13952 | loss 1.7522 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,263
step   2550/13952 | loss 1.7518 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,179
step   2560/13952 | loss 1.7624 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,251
step   2570/13952 | loss 1.7608 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,160
step   2580/13952 | loss 1.7575 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,212
step   2590/13952 | loss 1.7561 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,049
step   2600/13952 | loss 1.7523 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,243
step   2610/13952 | loss 1.7625 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,230
step   2620/13952 | loss 1.7805 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,257
step   2630/13952 | loss 1.7663 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,171
step   2640/13952 | loss 1.7535 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,187
step   2650/13952 | loss 1.7567 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,149
step   2660/13952 | loss 1.7429 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,256
step   2670/13952 | loss 1.7486 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,209
step   2680/13952 | loss 1.7474 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,221
step   2690/13952 | loss 1.7443 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,242
step   2700/13952 | loss 1.7405 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,282
step   2710/13952 | loss 1.7659 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,359
step   2720/13952 | loss 1.7582 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,099
step   2730/13952 | loss 1.7488 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,159
step   2740/13952 | loss 1.7496 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,257
step   2750/13952 | loss 1.7486 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,190
step   2760/13952 | loss 1.7558 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,195
step   2770/13952 | loss 1.7528 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,117
